area,contentType,action,department,week,month,count,
Bay,P,R,McDonough,7/7/2013,2013-07,18125,
,A,R,Advocate,9/8/2013,2013-09,18034,
,A,R,Evanston,2/9/2014,2014-02,17971,
,A,R,Institute,9/8/2013,2013-09,17813,
,A,R,OSF,6/1/2014,2014-06,17802,
,A,R,Presence,2/9/2014,2014-02,17677,
Tunnel,P,R,Good,4/13/2014,2014-04,17260,
,A,R,Driver,8/4/2013,2013-08,17248,
School,P,R,Jersey,4/20/2014,2014-04,17230,
,A,R,Driver,2/16/2014,2014-02,17199,
Tunnel,P,R,Good,8/11/2013,2013-08,17053,
,A,R,Marianjoy,9/8/2013,2013-09,16994,
Reservoir,P,R,Good,12/15/2013,2013-12,16970,
,A,R,Evanston,9/8/2013,2013-09,16933,
Reservoir,P,R,Good,3/23/2014,2014-03,16930,
Island,P,R,Decatur,6/23/2013,2013-06,16883,
Reservoir,P,R,Good,6/2/2013,2013-06,16870,
,A,R,Driver,3/2/2014,2014-03,16762,
,A,R,FHN,2/16/2014,2014-02,16580,
Reservoir,P,R,Good,1/26/2014,2014-01,16565,
Reservoir,P,R,Good,5/25/2014,2014-05,16409,
,A,R,Fayette,4/20/2014,2014-04,16277,
School,P,R,Jersey,5/25/2014,2014-05,16275,
Reservoir,P,R,Good,11/24/2013,2013-11,16268,
,A,R,Driver,9/29/2013,2013-09,16259,
,A,C,Edward,6/16/2013,2013-06,16144,
,A,R,Fayette,1/26/2014,2014-01,16120,
Woods,P,R,Edward,11/24/2013,2013-11,16038,
Reservoir,P,R,Good,4/27/2014,2014-04,15991,
,A,R,Presence,8/25/2013,2013-08,15904,
School,P,R,Jersey,2/9/2014,2014-02,15893,
,A,R,Driver,1/19/2014,2014-01,15809,
,A,R,Fairfield,5/18/2014,2014-05,15780,
,A,R,Advocate,8/18/2013,2013-08,15758,
School,P,R,Jersey,3/23/2014,2014-03,15701,
Harbor,P,R,Midwest,9/8/2013,2013-09,15358,
,A,R,Presence,11/3/2013,2013-11,15350,
,A,R,Institute,8/4/2013,2013-08,15319,
,A,R,Advocate,11/24/2013,2013-11,15227,
,A,R,Jersey,6/2/2013,2013-06,15205,
Reservoir,P,R,Good,2/23/2014,2014-02,15160,
Woods,P,R,Institute,12/1/2013,2013-12,15041,
Bay,P,R,McDonough,6/2/2013,2013-06,14970,
Bay,P,R,McDonough,5/25/2014,2014-05,14898,
,A,R,McDonough,9/29/2013,2013-09,14857,
,A,R,Advocate,4/20/2014,2014-04,14759,
,A,R,Marianjoy,11/10/2013,2013-11,14690,
,A,R,Institute,1/19/2014,2014-01,14680,
Harbor,P,R,Midwest,8/25/2013,2013-08,14666,
Reservoir,P,R,Good,8/18/2013,2013-08,14626,
Woods,P,R,Edward,2/16/2014,2014-02,14466,
,A,R,Fayette,8/4/2013,2013-08,14328,
Harbor,P,R,Midwest,7/28/2013,2013-07,14155,
Harbor,P,R,Midwest,2/2/2014,2014-02,14031,
,A,R,Jersey,10/13/2013,2013-10,14018,
,A,R,Fairfield,3/23/2014,2014-03,14010,
,A,R,Fayette,3/9/2014,2014-03,13753,
,A,R,Advocate,7/28/2013,2013-07,13670,
,A,R,Graham,12/1/2013,2013-12,13645,
,A,R,Presence,3/23/2014,2014-03,13556,
,A,R,McDonough,3/30/2014,2014-04,13540,
,A,R,Morrison,2/9/2014,2014-02,13290,
,A,R,Gibson,1/12/2014,2014-01,13227,
,A,R,Marianjoy,7/14/2013,2013-07,13090,
,A,R,Gibson,6/16/2013,2013-06,13027,
,A,R,McDonough,6/16/2013,2013-06,13009,
,A,R,Morrison,4/27/2014,2014-05,12967,
,A,R,Franklin,3/30/2014,2014-03,12726,
,A,R,Fairfield,9/15/2013,2013-09,12689,
,A,R,Illinois,2/2/2014,2014-02,12673,
,A,R,Gibson,3/23/2014,2014-03,12597,
,A,R,Franklin,11/3/2013,2013-11,12522,
,A,R,Morrison,11/24/2013,2013-11,12471,
,A,R,Institute,10/27/2013,2013-10,12353,
Stream,P,R,Edward,8/25/2013,2013-08,12344,
,A,R,Presence,2/23/2014,2014-02,12307,
,A,R,Jackson,3/16/2014,2014-03,12224,
,A,R,Gibson,5/11/2014,2014-05,12224,
,A,R,Fayette,7/21/2013,2013-07,12190,
,A,R,Franklin,3/30/2014,2014-04,12095,
,A,R,McDonough,8/11/2013,2013-08,12091,
,A,R,Gibson,8/25/2013,2013-08,12043,
,A,R,Kishwaukee,2/16/2014,2014-02,12003,
,A,R,Gibson,7/21/2013,2013-07,11923,
,A,R,Jackson,11/17/2013,2013-11,11846,
,A,R,Gibson,4/20/2014,2014-04,11814,
,A,R,Presence,4/6/2014,2014-04,11763,
,A,R,McDonough,5/25/2014,2014-05,11697,
Woods,P,R,Edward,6/23/2013,2013-06,11681,
,A,R,Fairfield,7/21/2013,2013-07,11673,
,A,R,Fayette,11/17/2013,2013-11,11640,
Flat,P,R,Decatur,9/8/2013,2013-09,11639,
,A,R,Driver,11/17/2013,2013-11,11616,
,A,R,Presence,4/27/2014,2014-05,11572,
,A,R,Jackson,9/15/2013,2013-09,11519,
,A,R,Evanston,1/12/2014,2014-01,11484,
,A,R,Graham,9/22/2013,2013-09,11481,
Flat,P,R,Decatur,2/9/2014,2014-02,11241,
,A,R,Presence,7/28/2013,2013-07,11192,
,A,R,Driver,12/15/2013,2013-12,11180,
,A,R,Fairfield,1/26/2014,2014-01,11158,
,A,R,McDonough,10/27/2013,2013-11,10976,
,A,R,FHN,9/29/2013,2013-09,10958,
Bay,P,R,McDonough,4/27/2014,2014-04,10950,
Woods,P,R,Edward,5/4/2014,2014-05,10933,
,A,R,Fayette,6/2/2013,2013-06,10881,
,A,R,McDonough,12/15/2013,2013-12,10855,
,A,R,Presence,1/12/2014,2014-01,10836,
Woods,P,R,Edward,4/13/2014,2014-04,10832,
Harbor,P,R,Midwest,12/8/2013,2013-12,10817,
,A,R,Graham,8/18/2013,2013-08,10813,
,A,R,Presence,3/16/2014,2014-03,10736,
,A,R,Fairfield,8/11/2013,2013-08,10710,
,A,R,Kishwaukee,9/15/2013,2013-09,10706,
,A,R,Franklin,12/8/2013,2013-12,10564,
Woods,P,R,Edward,9/15/2013,2013-09,10541,
,A,R,Franklin,9/1/2013,2013-09,10412,
,A,R,Evanston,5/4/2014,2014-05,10288,
School,P,R,Jersey,12/22/2013,2013-12,10281,
Harbor,P,R,Midwest,10/27/2013,2013-10,10274,
Woods,P,R,Edward,3/9/2014,2014-03,10252,
,A,R,Gibson,11/17/2013,2013-11,10240,
,A,C,Good,3/16/2014,2014-03,10176,
,A,R,Presence,2/16/2014,2014-02,10157,
,A,R,Presence,1/26/2014,2014-01,10041,
Bay,P,R,McDonough,9/29/2013,2013-09,9976,
,A,R,Gibson,2/2/2014,2014-02,9891,
,A,R,Evanston,7/14/2013,2013-07,9860,
,A,R,Kishwaukee,12/1/2013,2013-12,9740,
Bay,P,R,McDonough,3/23/2014,2014-03,9717,
,A,R,Presence,9/8/2013,2013-09,9669,
,A,R,Gibson,9/8/2013,2013-09,9655,
Bay,P,R,McDonough,12/22/2013,2013-12,9628,
,A,R,Graham,6/30/2013,2013-07,9627,
School,P,R,Jersey,10/27/2013,2013-10,9614,
Summit,P,R,Driver,10/27/2013,2013-10,9577,
School,P,R,Jersey,11/17/2013,2013-11,9549,
,A,R,Franklin,5/25/2014,2014-05,9533,
Bay,P,R,McDonough,11/17/2013,2013-11,9364,
Trail,P,R,Evanston,2/16/2014,2014-02,9252,
,A,R,Graham,3/2/2014,2014-03,9247,
School,P,R,Jersey,12/29/2013,2014-01,9229,
Flat,P,R,Decatur,10/20/2013,2013-10,9211,
Summit,P,R,Driver,4/6/2014,2014-04,9165,
,A,R,FHN,5/25/2014,2014-05,9124,
,A,R,Graham,11/24/2013,2013-11,9110,
,A,R,Evanston,4/27/2014,2014-04,9102,
,A,R,Jackson,8/25/2013,2013-08,9101,
,A,R,Fairfield,11/17/2013,2013-11,9093,
,A,R,Presence,10/20/2013,2013-10,9028,
Harbor,P,R,Midwest,5/11/2014,2014-05,9023,
Summit,P,R,Driver,6/23/2013,2013-06,9018,
,A,R,Graham,1/26/2014,2014-01,9011,
Summit,P,R,Driver,12/15/2013,2013-12,8947,
Summit,P,R,Driver,8/4/2013,2013-08,8936,
Oilfield,P,R,Good,7/28/2013,2013-08,8819,
,A,R,Kishwaukee,1/26/2014,2014-01,8806,
Locale,P,R,Good,10/6/2013,2013-10,8784,
Summit,P,R,Driver,1/19/2014,2014-01,8672,
,A,R,Fayette,12/15/2013,2013-12,8654,
,A,R,FHN,3/9/2014,2014-03,8633,
Summit,P,R,Driver,3/2/2014,2014-03,8532,
,A,R,Illinois,11/3/2013,2013-11,8526,
Woods,P,R,Edward,8/4/2013,2013-08,8439,
,A,R,Graham,4/6/2014,2014-04,8423,
Bay,P,R,McDonough,8/25/2013,2013-08,8403,
,A,R,Crawford,2/16/2014,2014-02,8401,
School,P,R,Jersey,9/1/2013,2013-09,8332,
,A,R,Jackson,1/5/2014,2014-01,8304,
Reservoir,P,R,Good,9/22/2013,2013-09,8299,
,A,R,FHN,4/6/2014,2014-04,8299,
,A,R,Jackson,4/20/2014,2014-04,8266,
Harbor,P,R,Midwest,6/23/2013,2013-06,8262,
Tunnel,P,R,Fairfield,2/16/2014,2014-02,8244,
School,P,R,Jersey,7/7/2013,2013-07,8204,
,A,R,Evanston,8/11/2013,2013-08,8147,
,A,R,Evanston,3/16/2014,2014-03,8117,
,A,R,Graham,10/27/2013,2013-10,8047,
Trail,P,R,Evanston,9/8/2013,2013-09,8028,
,A,R,Franklin,1/26/2014,2014-01,7952,
,A,R,Advocate,10/27/2013,2013-10,7893,
Bay,P,R,McDonough,1/12/2014,2014-01,7887,
Stream,P,R,Good,10/27/2013,2013-10,7884,
,A,R,Evanston,11/3/2013,2013-11,7864,
,A,R,Gibson,12/15/2013,2013-12,7854,
Tunnel,P,R,Fairfield,3/2/2014,2014-03,7828,
Flat,P,R,Decatur,7/28/2013,2013-08,7823,
,A,R,Driver,10/27/2013,2013-10,7748,
Flat,P,R,Decatur,3/9/2014,2014-03,7743,
Forest,P,R,Fayette,8/4/2013,2013-08,7670,
Oilfield,P,R,Good,10/27/2013,2013-10,7661,
Summit,P,R,Driver,11/17/2013,2013-11,7621,
,A,R,Evanston,6/9/2013,2013-06,7587,
,A,R,Presence,10/6/2013,2013-10,7584,
Bay,P,R,McDonough,2/23/2014,2014-02,7577,
,A,R,Mercy,2/16/2014,2014-02,7574,
,A,R,Graham,6/9/2013,2013-06,7544,
,A,R,Harrisburg,1/12/2014,2014-01,7506,
,A,R,Mason,2/2/2014,2014-02,7494,
,A,R,Illinois,9/22/2013,2013-09,7472,
,A,R,Franklin,6/2/2013,2013-06,7419,
,A,R,Marianjoy,8/25/2013,2013-08,7410,
Trail,P,R,Good,3/9/2014,2014-03,7389,
Summit,P,R,Driver,6/30/2013,2013-07,7378,
Summit,P,R,Driver,2/16/2014,2014-02,7311,
,A,R,Advocate,6/2/2013,2013-06,7292,
,A,R,FHN,8/4/2013,2013-08,7291,
,A,R,Presence,9/8/2013,2013-09,7280,
Flat,P,R,Decatur,11/3/2013,2013-11,7267,
,A,R,Methodist,2/16/2014,2014-02,7237,
School,P,R,Jersey,8/4/2013,2013-08,7227,
Oilfield,P,R,Good,10/27/2013,2013-10,7174,
School,P,R,Jersey,6/2/2013,2013-06,7164,
,A,R,Fairfield,6/23/2013,2013-06,7136,
Island,P,R,Decatur,7/21/2013,2013-07,7134,
Summit,P,R,Driver,5/25/2014,2014-05,7129,
,A,R,Franklin,6/30/2013,2013-07,7075,
,A,R,Marianjoy,2/2/2014,2014-02,7048,
,A,R,Fairfield,10/13/2013,2013-10,7038,
,A,R,Fayette,10/27/2013,2013-10,6967,
Oilfield,P,R,Edward,8/25/2013,2013-08,6957,
,A,R,Franklin,8/25/2013,2013-08,6805,
,A,C,Good,12/15/2013,2013-12,6722,
,A,R,Gibson,10/27/2013,2013-10,6721,
,A,R,Jackson,7/14/2013,2013-07,6688,
,A,R,Morris,3/23/2014,2014-03,6680,
,A,R,Marianjoy,10/27/2013,2013-10,6677,
Forest,P,R,Fayette,4/20/2014,2014-04,6632,
,A,R,Evanston,10/13/2013,2013-10,6554,
,A,R,Copley,5/18/2014,2014-05,6474,
Mine,P,R,Institute,6/2/2013,2013-06,6421,
,A,C,Good,9/8/2013,2013-09,6412,
Summit,P,R,Driver,9/1/2013,2013-09,6366,
,A,R,Fairfield,6/1/2014,2014-06,6335,
Swamp,P,R,Presence,10/27/2013,2013-10,6309,
,A,R,Franklin,10/20/2013,2013-10,6256,
,A,R,FHN,6/30/2013,2013-07,6198,
,A,R,Harrisburg,2/23/2014,2014-02,6148,
,A,R,Graham,4/27/2014,2014-05,6139,
,A,R,Morrison,3/16/2014,2014-03,6078,
Woods,P,R,Edward,7/21/2013,2013-07,6076,
,A,R,Evanston,12/8/2013,2013-12,6049,
,A,R,Jackson,5/25/2014,2014-05,6044,
Flat,P,R,Decatur,1/19/2014,2014-01,6023,
,A,C,Edward,12/8/2013,2013-12,5987,
Flat,P,R,Decatur,4/13/2014,2014-04,5951,
,A,R,Iroquois,2/23/2014,2014-02,5945,
,A,R,FHN,11/17/2013,2013-11,5908,
,A,R,Jackson,6/23/2013,2013-06,5866,
,A,R,Marianjoy,6/16/2013,2013-06,5848,
,A,R,Presence,6/16/2013,2013-06,5797,
,A,R,Kirby,6/2/2013,2013-06,5779,
,A,R,Genesis,5/18/2014,2014-05,5622,
Ridge,P,R,Good,10/27/2013,2013-10,5617,
,A,R,Memorial,5/25/2014,2014-05,5613,
,A,R,Presence,7/14/2013,2013-07,5603,
Ridge,P,R,Graham,8/25/2013,2013-08,5592,
,A,R,Pekin,2/16/2014,2014-02,5494,
Trail,P,R,Evanston,10/27/2013,2013-10,5490,
,A,R,McDonough,10/20/2013,2013-10,5440,
Woods,P,U,Edward,12/1/2013,2013-12,5439,
,A,R,Memorial,4/20/2014,2014-04,5435,
,A,R,Kishwaukee,10/20/2013,2013-10,5387,
Tunnel,P,R,Fairfield,4/27/2014,2014-04,5387,
,A,R,Jackson,12/8/2013,2013-12,5378,
Trail,P,R,Good,12/29/2013,2013-12,5372,
,A,R,Genesis,1/5/2014,2014-01,5327,
,A,R,FHN,1/12/2014,2014-01,5322,
,A,R,Memorial,2/2/2014,2014-02,5317,
,A,R,Presence,8/4/2013,2013-08,5285,
Levee,P,R,Institute,10/27/2013,2013-10,5285,
,A,R,Perry,3/23/2014,2014-03,5271,
Trail,P,R,Good,4/27/2014,2014-04,5233,
Stream,P,R,Good,2/16/2014,2014-02,5219,
Flat,P,R,Decatur,12/8/2013,2013-12,5217,
Reservoir,P,R,Edward,8/11/2013,2013-08,5217,
Mine,P,R,Institute,5/25/2014,2014-05,5201,
,A,R,Highland,12/22/2013,2013-12,5201,
,A,R,Presence,6/23/2013,2013-06,5196,
Trail,P,R,Good,6/23/2013,2013-06,5155,
Trail,P,R,Good,11/10/2013,2013-11,5151,
Trail,P,R,Good,10/20/2013,2013-10,5126,
Forest,P,R,Fayette,2/23/2014,2014-02,5113,
Ridge,P,R,Graham,7/14/2013,2013-07,5111,
,A,R,Morris,10/20/2013,2013-10,5086,
Military,P,R,Gibson,2/2/2014,2014-02,5057,
Trail,P,R,Good,1/26/2014,2014-01,5044,
,A,R,Presence,12/15/2013,2013-12,5027,
Oilfield,P,R,Good,11/24/2013,2013-11,5022,
,A,R,Harrisburg,3/9/2014,2014-03,5000,
,A,R,Presence,6/16/2013,2013-06,4991,
Forest,P,R,Fayette,7/21/2013,2013-07,4982,
Forest,P,R,Fayette,10/27/2013,2013-10,4979,
